#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04925	Aldosterone synthesis and secretion	8	93	1.02	2.56e-05	9606.ENSP00000264110,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000344479,9606.ENSP00000364349,9606.ENSP00000440864,9606.ENSP00000481956	ATF2,CREB3L2,ATF4,CREB3,NR4A2,ATF6B,NR4A1,CREB3L1
hsa04926	Relaxin signaling pathway	9	130	0.92	2.85e-05	9606.ENSP00000215832,9606.ENSP00000264110,9606.ENSP00000306245,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000360266,9606.ENSP00000364349,9606.ENSP00000481956	MAPK1,ATF2,FOS,CREB3L2,ATF4,CREB3,JUN,ATF6B,CREB3L1
hsa04728	Dopaminergic synapse	8	128	0.88	0.00020	9606.ENSP00000264110,9606.ENSP00000306245,9606.ENSP00000308741,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000364349,9606.ENSP00000481956	ATF2,FOS,CLOCK,CREB3L2,ATF4,CREB3,ATF6B,CREB3L1
hsa01522	Endocrine resistance	7	95	0.95	0.00023	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000306245,9606.ENSP00000325690,9606.ENSP00000329357,9606.ENSP00000360266,9606.ENSP00000361066	MAPK1,CCND1,FOS,CARM1,SP1,JUN,NCOA3
hsa04261	Adrenergic signaling in cardiomyocytes	8	139	0.84	0.00030	9606.ENSP00000215832,9606.ENSP00000264110,9606.ENSP00000265372,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000364349,9606.ENSP00000481956	MAPK1,ATF2,CREM,CREB3L2,ATF4,CREB3,ATF6B,CREB3L1
hsa04659	Th17 cell differentiation	7	102	0.92	0.00031	9606.ENSP00000215832,9606.ENSP00000254066,9606.ENSP00000261523,9606.ENSP00000306245,9606.ENSP00000327025,9606.ENSP00000360266,9606.ENSP00000389377	MAPK1,RARA,RORA,FOS,RORC,JUN,NFATC1
hsa04918	Thyroid hormone synthesis	6	73	1.0	0.00043	9606.ENSP00000264110,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000364349,9606.ENSP00000481956	ATF2,CREB3L2,ATF4,CREB3,ATF6B,CREB3L1
hsa05166	HTLV-I infection	10	250	0.68	0.00051	9606.ENSP00000216037,9606.ENSP00000227507,9606.ENSP00000264110,9606.ENSP00000264634,9606.ENSP00000265372,9606.ENSP00000306245,9606.ENSP00000336790,9606.ENSP00000350681,9606.ENSP00000360266,9606.ENSP00000389377	XBP1,CCND1,ATF2,WNT5A,CREM,FOS,ATF4,ELK4,JUN,NFATC1
hsa04919	Thyroid hormone signaling pathway	7	115	0.87	0.00054	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000297347,9606.ENSP00000302967,9606.ENSP00000361066,9606.ENSP00000362649,9606.ENSP00000399968	MAPK1,CCND1,MED30,HDAC3,NCOA3,HDAC1,NCOA2
hsa04022	cGMP-PKG signaling pathway	8	160	0.78	0.00058	9606.ENSP00000215832,9606.ENSP00000264110,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000364349,9606.ENSP00000389377,9606.ENSP00000481956	MAPK1,ATF2,CREB3L2,ATF4,CREB3,ATF6B,NFATC1,CREB3L1
hsa04152	AMPK signaling pathway	7	120	0.85	0.00063	9606.ENSP00000212015,9606.ENSP00000227507,9606.ENSP00000329140,9606.ENSP00000342136,9606.ENSP00000348069,9606.ENSP00000385824,9606.ENSP00000481956	SIRT1,CCND1,CREB3L2,CREB3,SREBF1,FOXO3,CREB3L1
hsa04911	Insulin secretion	6	84	0.94	0.00068	9606.ENSP00000264110,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000364349,9606.ENSP00000481956	ATF2,CREB3L2,ATF4,CREB3,ATF6B,CREB3L1
hsa05215	Prostate cancer	6	97	0.87	0.0014	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000481956	MAPK1,CCND1,CREB3L2,ATF4,CREB3,CREB3L1
hsa04922	Glucagon signaling pathway	6	100	0.86	0.0015	9606.ENSP00000212015,9606.ENSP00000264110,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000481956	SIRT1,ATF2,CREB3L2,ATF4,CREB3,CREB3L1
hsa04024	cAMP signaling pathway	8	195	0.7	0.0017	9606.ENSP00000215832,9606.ENSP00000245479,9606.ENSP00000306245,9606.ENSP00000329140,9606.ENSP00000342136,9606.ENSP00000360266,9606.ENSP00000389377,9606.ENSP00000481956	MAPK1,SOX9,FOS,CREB3L2,CREB3,JUN,NFATC1,CREB3L1
hsa05224	Breast cancer	7	147	0.76	0.0017	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000264634,9606.ENSP00000306245,9606.ENSP00000329357,9606.ENSP00000360266,9606.ENSP00000361066	MAPK1,CCND1,WNT5A,FOS,SP1,JUN,NCOA3
hsa04917	Prolactin signaling pathway	5	69	0.94	0.0020	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000306245,9606.ENSP00000311010,9606.ENSP00000385824	MAPK1,CCND1,FOS,ELF5,FOXO3
hsa04662	B cell receptor signaling pathway	5	71	0.93	0.0022	9606.ENSP00000215832,9606.ENSP00000306245,9606.ENSP00000359612,9606.ENSP00000360266,9606.ENSP00000389377	MAPK1,FOS,BCL10,JUN,NFATC1
hsa04725	Cholinergic synapse	6	111	0.81	0.0022	9606.ENSP00000215832,9606.ENSP00000306245,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000481956	MAPK1,FOS,CREB3L2,ATF4,CREB3,CREB3L1
hsa03022	Basal transcription factors	4	44	1.04	0.0033	9606.ENSP00000256443,9606.ENSP00000328901,9606.ENSP00000355051,9606.ENSP00000367406	CDK7,GTF2H2,TAF13,TAF2
hsa05202	Transcriptional misregulation in cancer	7	169	0.7	0.0033	9606.ENSP00000254066,9606.ENSP00000272369,9606.ENSP00000329357,9606.ENSP00000350681,9606.ENSP00000362649,9606.ENSP00000369695,9606.ENSP00000448665	RARA,MEIS1,SP1,ELK4,HDAC1,MLLT3,DDIT3
hsa04151	PI3K-Akt signaling pathway	10	348	0.54	0.0037	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000264110,9606.ENSP00000329140,9606.ENSP00000336790,9606.ENSP00000342136,9606.ENSP00000364349,9606.ENSP00000385824,9606.ENSP00000440864,9606.ENSP00000481956	MAPK1,CCND1,ATF2,CREB3L2,ATF4,CREB3,ATF6B,FOXO3,NR4A1,CREB3L1
hsa04010	MAPK signaling pathway	9	293	0.57	0.0042	9606.ENSP00000215832,9606.ENSP00000264110,9606.ENSP00000306245,9606.ENSP00000336790,9606.ENSP00000350681,9606.ENSP00000360266,9606.ENSP00000389377,9606.ENSP00000440864,9606.ENSP00000448665	MAPK1,ATF2,FOS,ATF4,ELK4,JUN,NFATC1,NR4A1,DDIT3
hsa04550	Signaling pathways regulating pluripotency of stem cells	6	138	0.72	0.0055	9606.ENSP00000215832,9606.ENSP00000257566,9606.ENSP00000264634,9606.ENSP00000272369,9606.ENSP00000361107,9606.ENSP00000380136	MAPK1,TBX3,WNT5A,MEIS1,BMPR1A,KAT6A
hsa05200	Pathways in cancer	12	515	0.45	0.0061	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000254066,9606.ENSP00000264634,9606.ENSP00000306245,9606.ENSP00000310928,9606.ENSP00000329357,9606.ENSP00000351407,9606.ENSP00000358918,9606.ENSP00000360266,9606.ENSP00000361066,9606.ENSP00000362649	MAPK1,CCND1,RARA,WNT5A,FOS,PPARD,SP1,ARNT,SUFU,JUN,NCOA3,HDAC1
hsa05165	Human papillomavirus infection	9	317	0.54	0.0065	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000264634,9606.ENSP00000272937,9606.ENSP00000302967,9606.ENSP00000329140,9606.ENSP00000342136,9606.ENSP00000362649,9606.ENSP00000481956	MAPK1,CCND1,WNT5A,HES6,HDAC3,CREB3L2,CREB3,HDAC1,CREB3L1
hsa04916	Melanogenesis	5	98	0.79	0.0067	9606.ENSP00000215832,9606.ENSP00000264634,9606.ENSP00000329140,9606.ENSP00000342136,9606.ENSP00000481956	MAPK1,WNT5A,CREB3L2,CREB3,CREB3L1
hsa04660	T cell receptor signaling pathway	5	99	0.79	0.0068	9606.ENSP00000215832,9606.ENSP00000306245,9606.ENSP00000359612,9606.ENSP00000360266,9606.ENSP00000389377	MAPK1,FOS,BCL10,JUN,NFATC1
hsa04932	Non-alcoholic fatty liver disease (NAFLD)	6	149	0.69	0.0070	9606.ENSP00000216037,9606.ENSP00000336790,9606.ENSP00000348069,9606.ENSP00000360266,9606.ENSP00000448665,9606.ENSP00000477707	XBP1,ATF4,SREBF1,JUN,DDIT3,NR1H3
hsa05321	Inflammatory bowel disease (IBD)	4	62	0.89	0.0081	9606.ENSP00000261523,9606.ENSP00000327025,9606.ENSP00000360266,9606.ENSP00000389377	RORA,RORC,JUN,NFATC1
hsa04137	Mitophagy - animal	4	63	0.88	0.0083	9606.ENSP00000329357,9606.ENSP00000336790,9606.ENSP00000360266,9606.ENSP00000385824	SP1,ATF4,JUN,FOXO3
hsa04218	Cellular senescence	6	156	0.67	0.0083	9606.ENSP00000212015,9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000385824,9606.ENSP00000388402,9606.ENSP00000389377	SIRT1,MAPK1,CCND1,FOXO3,ZFP36L1,NFATC1
hsa04931	Insulin resistance	5	107	0.75	0.0083	9606.ENSP00000329140,9606.ENSP00000342136,9606.ENSP00000348069,9606.ENSP00000477707,9606.ENSP00000481956	CREB3L2,CREB3,SREBF1,NR1H3,CREB3L1
hsa04710	Circadian rhythm	3	30	1.08	0.0086	9606.ENSP00000261523,9606.ENSP00000308741,9606.ENSP00000327025	RORA,CLOCK,RORC
hsa04141	Protein processing in endoplasmic reticulum	6	161	0.65	0.0088	9606.ENSP00000216037,9606.ENSP00000336790,9606.ENSP00000356919,9606.ENSP00000364349,9606.ENSP00000366179,9606.ENSP00000448665	XBP1,ATF4,ATF6,ATF6B,DNAJC1,DDIT3
hsa05221	Acute myeloid leukemia	4	66	0.86	0.0088	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000254066,9606.ENSP00000310928	MAPK1,CCND1,RARA,PPARD
hsa04722	Neurotrophin signaling pathway	5	116	0.72	0.0106	9606.ENSP00000215832,9606.ENSP00000336790,9606.ENSP00000360266,9606.ENSP00000367545,9606.ENSP00000385824	MAPK1,ATF4,JUN,TP73,FOXO3
hsa04380	Osteoclast differentiation	5	124	0.69	0.0136	9606.ENSP00000215832,9606.ENSP00000245919,9606.ENSP00000306245,9606.ENSP00000360266,9606.ENSP00000389377	MAPK1,FOSB,FOS,JUN,NFATC1
hsa04068	FoxO signaling pathway	5	130	0.67	0.0161	9606.ENSP00000212015,9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000363377,9606.ENSP00000385824	SIRT1,MAPK1,CCND1,FOXO4,FOXO3
hsa04350	TGF-beta signaling pathway	4	83	0.76	0.0176	9606.ENSP00000215832,9606.ENSP00000304169,9606.ENSP00000329357,9606.ENSP00000361107	MAPK1,PITX2,SP1,BMPR1A
hsa04210	Apoptosis	5	135	0.65	0.0181	9606.ENSP00000215832,9606.ENSP00000306245,9606.ENSP00000336790,9606.ENSP00000360266,9606.ENSP00000448665	MAPK1,FOS,ATF4,JUN,DDIT3
hsa05210	Colorectal cancer	4	85	0.75	0.0183	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000306245,9606.ENSP00000360266	MAPK1,CCND1,FOS,JUN
hsa04962	Vasopressin-regulated water reabsorption	3	44	0.92	0.0195	9606.ENSP00000329140,9606.ENSP00000342136,9606.ENSP00000481956	CREB3L2,CREB3,CREB3L1
hsa04658	Th1 and Th2 cell differentiation	4	88	0.74	0.0198	9606.ENSP00000215832,9606.ENSP00000306245,9606.ENSP00000360266,9606.ENSP00000389377	MAPK1,FOS,JUN,NFATC1
hsa04310	Wnt signaling pathway	5	143	0.63	0.0211	9606.ENSP00000227507,9606.ENSP00000264634,9606.ENSP00000310928,9606.ENSP00000360266,9606.ENSP00000389377	CCND1,WNT5A,PPARD,JUN,NFATC1
hsa04657	IL-17 signaling pathway	4	92	0.72	0.0222	9606.ENSP00000215832,9606.ENSP00000245919,9606.ENSP00000306245,9606.ENSP00000360266	MAPK1,FOSB,FOS,JUN
hsa04921	Oxytocin signaling pathway	5	149	0.61	0.0239	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000306245,9606.ENSP00000360266,9606.ENSP00000389377	MAPK1,CCND1,FOS,JUN,NFATC1
hsa04933	AGE-RAGE signaling pathway in diabetic complications	4	98	0.69	0.0264	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000360266,9606.ENSP00000389377	MAPK1,CCND1,JUN,NFATC1
hsa05231	Choline metabolism in cancer	4	98	0.69	0.0264	9606.ENSP00000215832,9606.ENSP00000306245,9606.ENSP00000329357,9606.ENSP00000360266	MAPK1,FOS,SP1,JUN
hsa05225	Hepatocellular carcinoma	5	163	0.57	0.0322	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000264634,9606.ENSP00000265773,9606.ENSP00000395654	MAPK1,CCND1,WNT5A,SMARCA2,SMARCA4
hsa04714	Thermogenesis	6	228	0.5	0.0324	9606.ENSP00000264110,9606.ENSP00000265773,9606.ENSP00000329140,9606.ENSP00000342136,9606.ENSP00000395654,9606.ENSP00000481956	ATF2,SMARCA2,CREB3L2,CREB3,SMARCA4,CREB3L1
hsa05213	Endometrial cancer	3	58	0.8	0.0341	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000385824	MAPK1,CCND1,FOXO3
hsa04213	Longevity regulating pathway - multiple species	3	61	0.77	0.0382	9606.ENSP00000212015,9606.ENSP00000362649,9606.ENSP00000385824	SIRT1,HDAC1,FOXO3
hsa05168	Herpes simplex infection	5	181	0.52	0.0450	9606.ENSP00000306245,9606.ENSP00000308741,9606.ENSP00000309555,9606.ENSP00000355051,9606.ENSP00000360266	FOS,CLOCK,HCFC1,TAF13,JUN
hsa05223	Non-small cell lung cancer	3	66	0.74	0.0452	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000385824	MAPK1,CCND1,FOXO3
hsa05167	Kaposi's sarcoma-associated herpesvirus infection	5	183	0.52	0.0455	9606.ENSP00000215832,9606.ENSP00000227507,9606.ENSP00000306245,9606.ENSP00000360266,9606.ENSP00000389377	MAPK1,CCND1,FOS,JUN,NFATC1
hsa05211	Renal cell carcinoma	3	68	0.73	0.0472	9606.ENSP00000215832,9606.ENSP00000351407,9606.ENSP00000360266	MAPK1,ARNT,JUN
