userId	geneSymbol	geneName	entrezgene	gLink
ADPGK	ADPGK	ADP dependent glucokinase	83440	https://www.ncbi.nlm.nih.gov/gene/?term=83440
TSC22D4	TSC22D4	TSC22 domain family member 4	81628	https://www.ncbi.nlm.nih.gov/gene/?term=81628
TRIP4	TRIP4	thyroid hormone receptor interactor 4	9325	https://www.ncbi.nlm.nih.gov/gene/?term=9325
MFAP1	MFAP1	microfibril associated protein 1	4236	https://www.ncbi.nlm.nih.gov/gene/?term=4236
SEMA4B	SEMA4B	semaphorin 4B	10509	https://www.ncbi.nlm.nih.gov/gene/?term=10509
IDH2	IDH2	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	3418	https://www.ncbi.nlm.nih.gov/gene/?term=3418
MRM2	MRM2	mitochondrial rRNA methyltransferase 2	29960	https://www.ncbi.nlm.nih.gov/gene/?term=29960
NUDT1	NUDT1	nudix hydrolase 1	4521	https://www.ncbi.nlm.nih.gov/gene/?term=4521
BHLHA15	BHLHA15	basic helix-loop-helix family member a15	168620	https://www.ncbi.nlm.nih.gov/gene/?term=168620
FBXO31	FBXO31	F-box protein 31	79791	https://www.ncbi.nlm.nih.gov/gene/?term=79791
RERE	RERE	arginine-glutamic acid dipeptide repeats	473	https://www.ncbi.nlm.nih.gov/gene/?term=473
KCNK6	KCNK6	potassium two pore domain channel subfamily K member 6	9424	https://www.ncbi.nlm.nih.gov/gene/?term=9424
FOSB	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit	2354	https://www.ncbi.nlm.nih.gov/gene/?term=2354
ABCA2	ABCA2	ATP binding cassette subfamily A member 2	20	https://www.ncbi.nlm.nih.gov/gene/?term=20
SAPCD2	SAPCD2	suppressor APC domain containing 2	89958	https://www.ncbi.nlm.nih.gov/gene/?term=89958
FUT7	FUT7	fucosyltransferase 7	2529	https://www.ncbi.nlm.nih.gov/gene/?term=2529
LRRC26	LRRC26	leucine rich repeat containing 26	389816	https://www.ncbi.nlm.nih.gov/gene/?term=389816
RNF208	RNF208	ring finger protein 208	727800	https://www.ncbi.nlm.nih.gov/gene/?term=727800
KLHDC2	KLHDC2	kelch domain containing 2	23588	https://www.ncbi.nlm.nih.gov/gene/?term=23588
ZBTB6	ZBTB6	zinc finger and BTB domain containing 6	10773	https://www.ncbi.nlm.nih.gov/gene/?term=10773
B3GALT6	B3GALT6	beta-1,3-galactosyltransferase 6	126792	https://www.ncbi.nlm.nih.gov/gene/?term=126792
SDF4	SDF4	stromal cell derived factor 4	51150	https://www.ncbi.nlm.nih.gov/gene/?term=51150
GPR146	GPR146	G protein-coupled receptor 146	115330	https://www.ncbi.nlm.nih.gov/gene/?term=115330
SREBF2	SREBF2	sterol regulatory element binding transcription factor 2	6721	https://www.ncbi.nlm.nih.gov/gene/?term=6721
MYO1C	MYO1C	myosin IC	4641	https://www.ncbi.nlm.nih.gov/gene/?term=4641
LLGL2	LLGL2	LLGL scribble cell polarity complex component 2	3993	https://www.ncbi.nlm.nih.gov/gene/?term=3993
SNN	SNN	stannin	8303	https://www.ncbi.nlm.nih.gov/gene/?term=8303
EMP2	EMP2	epithelial membrane protein 2	2013	https://www.ncbi.nlm.nih.gov/gene/?term=2013
NADK	NADK	NAD kinase	65220	https://www.ncbi.nlm.nih.gov/gene/?term=65220
TFAP4	TFAP4	transcription factor AP-4	7023	https://www.ncbi.nlm.nih.gov/gene/?term=7023
HBZ	HBZ	hemoglobin subunit zeta	3050	https://www.ncbi.nlm.nih.gov/gene/?term=3050
TMEM8A	TMEM8A	transmembrane protein 8A	58986	https://www.ncbi.nlm.nih.gov/gene/?term=58986
PARN	PARN	poly(A)-specific ribonuclease	5073	https://www.ncbi.nlm.nih.gov/gene/?term=5073
MGRN1	MGRN1	mahogunin ring finger 1	23295	https://www.ncbi.nlm.nih.gov/gene/?term=23295
DNAJA3	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	9093	https://www.ncbi.nlm.nih.gov/gene/?term=9093
VASN	VASN	vasorin	114990	https://www.ncbi.nlm.nih.gov/gene/?term=114990
NPRL3	NPRL3	NPR3 like, GATOR1 complex subunit	8131	https://www.ncbi.nlm.nih.gov/gene/?term=8131
CYGB	CYGB	cytoglobin	114757	https://www.ncbi.nlm.nih.gov/gene/?term=114757
CDIP1	CDIP1	cell death inducing p53 target 1	29965	https://www.ncbi.nlm.nih.gov/gene/?term=29965
VPS4A	VPS4A	vacuolar protein sorting 4 homolog A	27183	https://www.ncbi.nlm.nih.gov/gene/?term=27183
SNTB2	SNTB2	syntrophin beta 2	6645	https://www.ncbi.nlm.nih.gov/gene/?term=6645
TMED6	TMED6	transmembrane p24 trafficking protein 6	146456	https://www.ncbi.nlm.nih.gov/gene/?term=146456
GAS8	GAS8	growth arrest specific 8	2622	https://www.ncbi.nlm.nih.gov/gene/?term=2622
ANKRD11	ANKRD11	ankyrin repeat domain 11	29123	https://www.ncbi.nlm.nih.gov/gene/?term=29123
BANP	BANP	BTG3 associated nuclear protein	54971	https://www.ncbi.nlm.nih.gov/gene/?term=54971
SNRNP35	SNRNP35	small nuclear ribonucleoprotein U11/U12 subunit 35	11066	https://www.ncbi.nlm.nih.gov/gene/?term=11066
ARPC3	ARPC3	actin related protein 2/3 complex subunit 3	10094	https://www.ncbi.nlm.nih.gov/gene/?term=10094
RNF34	RNF34	ring finger protein 34	80196	https://www.ncbi.nlm.nih.gov/gene/?term=80196
SH2B3	SH2B3	SH2B adaptor protein 3	10019	https://www.ncbi.nlm.nih.gov/gene/?term=10019
ATXN2L	ATXN2L	ataxin 2 like	11273	https://www.ncbi.nlm.nih.gov/gene/?term=11273
TRAF2	TRAF2	TNF receptor associated factor 2	7186	https://www.ncbi.nlm.nih.gov/gene/?term=7186
GRB7	GRB7	growth factor receptor bound protein 7	2886	https://www.ncbi.nlm.nih.gov/gene/?term=2886
WDR37	WDR37	WD repeat domain 37	22884	https://www.ncbi.nlm.nih.gov/gene/?term=22884
DNAJC3	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	5611	https://www.ncbi.nlm.nih.gov/gene/?term=5611
ASB2	ASB2	ankyrin repeat and SOCS box containing 2	51676	https://www.ncbi.nlm.nih.gov/gene/?term=51676
FOS	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	2353	https://www.ncbi.nlm.nih.gov/gene/?term=2353
AP3D1	AP3D1	adaptor related protein complex 3 subunit delta 1	8943	https://www.ncbi.nlm.nih.gov/gene/?term=8943
DOT1L	DOT1L	DOT1 like histone lysine methyltransferase	84444	https://www.ncbi.nlm.nih.gov/gene/?term=84444
MKNK1	MKNK1	MAP kinase interacting serine/threonine kinase 1	8569	https://www.ncbi.nlm.nih.gov/gene/?term=8569
KLF16	KLF16	Kruppel like factor 16	83855	https://www.ncbi.nlm.nih.gov/gene/?term=83855
ZFP36L1	ZFP36L1	ZFP36 ring finger protein like 1	677	https://www.ncbi.nlm.nih.gov/gene/?term=677
TMEM229B	TMEM229B	transmembrane protein 229B	161145	https://www.ncbi.nlm.nih.gov/gene/?term=161145
PLPP1	PLPP1	phospholipid phosphatase 1	8611	https://www.ncbi.nlm.nih.gov/gene/?term=8611
APIP	APIP	APAF1 interacting protein	51074	https://www.ncbi.nlm.nih.gov/gene/?term=51074
EHF	EHF	ETS homologous factor	26298	https://www.ncbi.nlm.nih.gov/gene/?term=26298
VMAC	VMAC	vimentin type intermediate filament associated coiled-coil protein	400673	https://www.ncbi.nlm.nih.gov/gene/?term=400673
NDUFA11	NDUFA11	NADH:ubiquinone oxidoreductase subunit A11	126328	https://www.ncbi.nlm.nih.gov/gene/?term=126328
INO80B	INO80B	INO80 complex subunit B	83444	https://www.ncbi.nlm.nih.gov/gene/?term=83444
UEVLD	UEVLD	UEV and lactate/malate dehyrogenase domains	55293	https://www.ncbi.nlm.nih.gov/gene/?term=55293
PIK3C2B	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	5287	https://www.ncbi.nlm.nih.gov/gene/?term=5287
TMEM41B	TMEM41B	transmembrane protein 41B	440026	https://www.ncbi.nlm.nih.gov/gene/?term=440026
IPO7	IPO7	importin 7	10527	https://www.ncbi.nlm.nih.gov/gene/?term=10527
ADM	ADM	adrenomedullin	133	https://www.ncbi.nlm.nih.gov/gene/?term=133
CRACR2B	CRACR2B	calcium release activated channel regulator 2B	283229	https://www.ncbi.nlm.nih.gov/gene/?term=283229
ERLIN1	ERLIN1	ER lipid raft associated 1	10613	https://www.ncbi.nlm.nih.gov/gene/?term=10613
ZNF511	ZNF511	zinc finger protein 511	118472	https://www.ncbi.nlm.nih.gov/gene/?term=118472
GRK2	GRK2	G protein-coupled receptor kinase 2	156	https://www.ncbi.nlm.nih.gov/gene/?term=156
SSH3	SSH3	slingshot protein phosphatase 3	54961	https://www.ncbi.nlm.nih.gov/gene/?term=54961
CRYBA2	CRYBA2	crystallin beta A2	1412	https://www.ncbi.nlm.nih.gov/gene/?term=1412
TFCP2L1	TFCP2L1	transcription factor CP2 like 1	29842	https://www.ncbi.nlm.nih.gov/gene/?term=29842
RND3	RND3	Rho family GTPase 3	390	https://www.ncbi.nlm.nih.gov/gene/?term=390
DPP4	DPP4	dipeptidyl peptidase 4	1803	https://www.ncbi.nlm.nih.gov/gene/?term=1803
GCG	GCG	glucagon	2641	https://www.ncbi.nlm.nih.gov/gene/?term=2641
COBLL1	COBLL1	cordon-bleu WH2 repeat protein like 1	22837	https://www.ncbi.nlm.nih.gov/gene/?term=22837
TMEM11	TMEM11	transmembrane protein 11	8834	https://www.ncbi.nlm.nih.gov/gene/?term=8834
COPS2	COPS2	COP9 signalosome subunit 2	9318	https://www.ncbi.nlm.nih.gov/gene/?term=9318
SUCLA2	SUCLA2	succinate-CoA ligase ADP-forming beta subunit	8803	https://www.ncbi.nlm.nih.gov/gene/?term=8803
MED4	MED4	mediator complex subunit 4	29079	https://www.ncbi.nlm.nih.gov/gene/?term=29079
GPCPD1	GPCPD1	glycerophosphocholine phosphodiesterase 1	56261	https://www.ncbi.nlm.nih.gov/gene/?term=56261
YWHAQ	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	10971	https://www.ncbi.nlm.nih.gov/gene/?term=10971
TAF1B	TAF1B	TATA-box binding protein associated factor, RNA polymerase I subunit B	9014	https://www.ncbi.nlm.nih.gov/gene/?term=9014
GRHL2	GRHL2	grainyhead like transcription factor 2	79977	https://www.ncbi.nlm.nih.gov/gene/?term=79977
KLF11	KLF11	Kruppel like factor 11	8462	https://www.ncbi.nlm.nih.gov/gene/?term=8462
ODC1	ODC1	ornithine decarboxylase 1	4953	https://www.ncbi.nlm.nih.gov/gene/?term=4953
NOL10	NOL10	nucleolar protein 10	79954	https://www.ncbi.nlm.nih.gov/gene/?term=79954
SLC52A2	SLC52A2	solute carrier family 52 member 2	79581	https://www.ncbi.nlm.nih.gov/gene/?term=79581
SLC35A1	SLC35A1	solute carrier family 35 member A1	10559	https://www.ncbi.nlm.nih.gov/gene/?term=10559
CFAP206	CFAP206	cilia and flagella associated protein 206	154313	https://www.ncbi.nlm.nih.gov/gene/?term=154313
ENPP3	ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3	5169	https://www.ncbi.nlm.nih.gov/gene/?term=5169
MAP7	MAP7	microtubule associated protein 7	9053	https://www.ncbi.nlm.nih.gov/gene/?term=9053
REPS1	REPS1	RALBP1 associated Eps domain containing 1	85021	https://www.ncbi.nlm.nih.gov/gene/?term=85021
ABRACL	ABRACL	ABRA C-terminal like	58527	https://www.ncbi.nlm.nih.gov/gene/?term=58527
EIF5	EIF5	eukaryotic translation initiation factor 5	1983	https://www.ncbi.nlm.nih.gov/gene/?term=1983
EZR	EZR	ezrin	7430	https://www.ncbi.nlm.nih.gov/gene/?term=7430
IRF2BP2	IRF2BP2	interferon regulatory factor 2 binding protein 2	359948	https://www.ncbi.nlm.nih.gov/gene/?term=359948
AKAP2	AKAP2	A-kinase anchoring protein 2	11217	https://www.ncbi.nlm.nih.gov/gene/?term=11217
VEGFA	VEGFA	vascular endothelial growth factor A	7422	https://www.ncbi.nlm.nih.gov/gene/?term=7422
SLC29A1	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	2030	https://www.ncbi.nlm.nih.gov/gene/?term=2030
HSP90AB1	HSP90AB1	heat shock protein 90 alpha family class B member 1	3326	https://www.ncbi.nlm.nih.gov/gene/?term=3326
KCNK16	KCNK16	potassium two pore domain channel subfamily K member 16	83795	https://www.ncbi.nlm.nih.gov/gene/?term=83795
PPP1CB	PPP1CB	protein phosphatase 1 catalytic subunit beta	5500	https://www.ncbi.nlm.nih.gov/gene/?term=5500
COQ8A	COQ8A	coenzyme Q8A	56997	https://www.ncbi.nlm.nih.gov/gene/?term=56997
PSEN2	PSEN2	presenilin 2	5664	https://www.ncbi.nlm.nih.gov/gene/?term=5664
IARS2	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial	55699	https://www.ncbi.nlm.nih.gov/gene/?term=55699
BPNT1	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1	10380	https://www.ncbi.nlm.nih.gov/gene/?term=10380
SERTAD4	SERTAD4	SERTA domain containing 4	56256	https://www.ncbi.nlm.nih.gov/gene/?term=56256
BAZ1B	BAZ1B	bromodomain adjacent to zinc finger domain 1B	9031	https://www.ncbi.nlm.nih.gov/gene/?term=9031
CCT6A	CCT6A	chaperonin containing TCP1 subunit 6A	908	https://www.ncbi.nlm.nih.gov/gene/?term=908
SUMF2	SUMF2	sulfatase modifying factor 2	25870	https://www.ncbi.nlm.nih.gov/gene/?term=25870
VKORC1L1	VKORC1L1	vitamin K epoxide reductase complex subunit 1 like 1	154807	https://www.ncbi.nlm.nih.gov/gene/?term=154807
MPO	MPO	myeloperoxidase	4353	https://www.ncbi.nlm.nih.gov/gene/?term=4353
PSPH	PSPH	phosphoserine phosphatase	5723	https://www.ncbi.nlm.nih.gov/gene/?term=5723
CHCHD2	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	51142	https://www.ncbi.nlm.nih.gov/gene/?term=51142
NUPR2	NUPR2	nuclear protein 2, transcriptional regulator	389493	https://www.ncbi.nlm.nih.gov/gene/?term=389493
FLOT2	FLOT2	flotillin 2	2319	https://www.ncbi.nlm.nih.gov/gene/?term=2319
DUSP7	DUSP7	dual specificity phosphatase 7	1849	https://www.ncbi.nlm.nih.gov/gene/?term=1849
CANX	CANX	calnexin	821	https://www.ncbi.nlm.nih.gov/gene/?term=821
HNRNPH1	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1	3187	https://www.ncbi.nlm.nih.gov/gene/?term=3187
NME5	NME5	NME/NM23 family member 5	8382	https://www.ncbi.nlm.nih.gov/gene/?term=8382
NDFIP1	NDFIP1	Nedd4 family interacting protein 1	80762	https://www.ncbi.nlm.nih.gov/gene/?term=80762
RPL26L1	RPL26L1	ribosomal protein L26 like 1	51121	https://www.ncbi.nlm.nih.gov/gene/?term=51121
ERGIC1	ERGIC1	endoplasmic reticulum-golgi intermediate compartment 1	57222	https://www.ncbi.nlm.nih.gov/gene/?term=57222
DUSP1	DUSP1	dual specificity phosphatase 1	1843	https://www.ncbi.nlm.nih.gov/gene/?term=1843
BNIP1	BNIP1	BCL2 interacting protein 1	662	https://www.ncbi.nlm.nih.gov/gene/?term=662
CREBRF	CREBRF	CREB3 regulatory factor	153222	https://www.ncbi.nlm.nih.gov/gene/?term=153222
WWC1	WWC1	WW and C2 domain containing 1	23286	https://www.ncbi.nlm.nih.gov/gene/?term=23286
WDR83OS	WDR83OS	WD repeat domain 83 opposite strand	51398	https://www.ncbi.nlm.nih.gov/gene/?term=51398
WDR83	WDR83	WD repeat domain 83	84292	https://www.ncbi.nlm.nih.gov/gene/?term=84292
TBCD	TBCD	tubulin folding cofactor D	6904	https://www.ncbi.nlm.nih.gov/gene/?term=6904
SEC14L1	SEC14L1	SEC14 like lipid binding 1	6397	https://www.ncbi.nlm.nih.gov/gene/?term=6397
ZMIZ2	ZMIZ2	zinc finger MIZ-type containing 2	83637	https://www.ncbi.nlm.nih.gov/gene/?term=83637
CASKIN2	CASKIN2	CASK interacting protein 2	57513	https://www.ncbi.nlm.nih.gov/gene/?term=57513
SLC5A2	SLC5A2	solute carrier family 5 member 2	6524	https://www.ncbi.nlm.nih.gov/gene/?term=6524
SLC9A3R1	SLC9A3R1	SLC9A3 regulator 1	9368	https://www.ncbi.nlm.nih.gov/gene/?term=9368
P4HB	P4HB	prolyl 4-hydroxylase subunit beta	5034	https://www.ncbi.nlm.nih.gov/gene/?term=5034
PPP1R27	PPP1R27	protein phosphatase 1 regulatory subunit 27	116729	https://www.ncbi.nlm.nih.gov/gene/?term=116729
MCRIP1	MCRIP1	MAPK regulated corepressor interacting protein 1	348262	https://www.ncbi.nlm.nih.gov/gene/?term=348262
SOX9	SOX9	SRY-box 9	6662	https://www.ncbi.nlm.nih.gov/gene/?term=6662
DDX5	DDX5	DEAD-box helicase 5	1655	https://www.ncbi.nlm.nih.gov/gene/?term=1655
POLG2	POLG2	DNA polymerase gamma 2, accessory subunit	11232	https://www.ncbi.nlm.nih.gov/gene/?term=11232
ERBB3	ERBB3	erb-b2 receptor tyrosine kinase 3	2065	https://www.ncbi.nlm.nih.gov/gene/?term=2065
ERN1	ERN1	endoplasmic reticulum to nucleus signaling 1	2081	https://www.ncbi.nlm.nih.gov/gene/?term=2081
ANKRD52	ANKRD52	ankyrin repeat domain 52	283373	https://www.ncbi.nlm.nih.gov/gene/?term=283373
SMARCD1	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	6602	https://www.ncbi.nlm.nih.gov/gene/?term=6602
GPD1	GPD1	glycerol-3-phosphate dehydrogenase 1	2819	https://www.ncbi.nlm.nih.gov/gene/?term=2819
TOM1L1	TOM1L1	target of myb1 like 1 membrane trafficking protein	10040	https://www.ncbi.nlm.nih.gov/gene/?term=10040
STXBP4	STXBP4	syntaxin binding protein 4	252983	https://www.ncbi.nlm.nih.gov/gene/?term=252983
LMBR1L	LMBR1L	limb development membrane protein 1 like	55716	https://www.ncbi.nlm.nih.gov/gene/?term=55716
KRT18	KRT18	keratin 18	3875	https://www.ncbi.nlm.nih.gov/gene/?term=3875
MBD6	MBD6	methyl-CpG binding domain protein 6	114785	https://www.ncbi.nlm.nih.gov/gene/?term=114785
DDIT3	DDIT3	DNA damage inducible transcript 3	1649	https://www.ncbi.nlm.nih.gov/gene/?term=1649
ETAA1	ETAA1	ETAA1, ATR kinase activator	54465	https://www.ncbi.nlm.nih.gov/gene/?term=54465
BCDIN3D	BCDIN3D	BCDIN3 domain containing RNA methyltransferase	144233	https://www.ncbi.nlm.nih.gov/gene/?term=144233
