userId	geneSymbol	geneName	entrezgene	gLink
SP6	SP6	Sp6 transcription factor	80320	https://www.ncbi.nlm.nih.gov/gene/?term=80320
ZNF652	ZNF652	zinc finger protein 652	22834	https://www.ncbi.nlm.nih.gov/gene/?term=22834
DLX4	DLX4	distal-less homeobox 4	1748	https://www.ncbi.nlm.nih.gov/gene/?term=1748
BHLHA15	BHLHA15	basic helix-loop-helix family member a15	168620	https://www.ncbi.nlm.nih.gov/gene/?term=168620
CREG1	CREG1	cellular repressor of E1A stimulated genes 1	8804	https://www.ncbi.nlm.nih.gov/gene/?term=8804
TAF13	TAF13	TATA-box binding protein associated factor 13	6884	https://www.ncbi.nlm.nih.gov/gene/?term=6884
BLZF1	BLZF1	basic leucine zipper nuclear factor 1	8548	https://www.ncbi.nlm.nih.gov/gene/?term=8548
PITX2	PITX2	paired like homeodomain 2	5308	https://www.ncbi.nlm.nih.gov/gene/?term=5308
SMARCA5	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	8467	https://www.ncbi.nlm.nih.gov/gene/?term=8467
CLOCK	CLOCK	clock circadian regulator	9575	https://www.ncbi.nlm.nih.gov/gene/?term=9575
NFXL1	NFXL1	nuclear transcription factor, X-box binding like 1	152518	https://www.ncbi.nlm.nih.gov/gene/?term=152518
TAF2	TAF2	TATA-box binding protein associated factor 2	6873	https://www.ncbi.nlm.nih.gov/gene/?term=6873
MED30	MED30	mediator complex subunit 30	90390	https://www.ncbi.nlm.nih.gov/gene/?term=90390
TRPS1	TRPS1	transcriptional repressor GATA binding 1	7227	https://www.ncbi.nlm.nih.gov/gene/?term=7227
GRHL2	GRHL2	grainyhead like transcription factor 2	79977	https://www.ncbi.nlm.nih.gov/gene/?term=79977
MTDH	MTDH	metadherin	92140	https://www.ncbi.nlm.nih.gov/gene/?term=92140
NCOA2	NCOA2	nuclear receptor coactivator 2	10499	https://www.ncbi.nlm.nih.gov/gene/?term=10499
PLAG1	PLAG1	PLAG1 zinc finger	5324	https://www.ncbi.nlm.nih.gov/gene/?term=5324
KCTD1	KCTD1	potassium channel tetramerization domain containing 1	284252	https://www.ncbi.nlm.nih.gov/gene/?term=284252
NFATC1	NFATC1	nuclear factor of activated T cells 1	4772	https://www.ncbi.nlm.nih.gov/gene/?term=4772
HIVEP1	HIVEP1	human immunodeficiency virus type I enhancer binding protein 1	3096	https://www.ncbi.nlm.nih.gov/gene/?term=3096
TFAP2A	TFAP2A	transcription factor AP-2 alpha	7020	https://www.ncbi.nlm.nih.gov/gene/?term=7020
RREB1	RREB1	ras responsive element binding protein 1	6239	https://www.ncbi.nlm.nih.gov/gene/?term=6239
IRX2	IRX2	iroquois homeobox 2	153572	https://www.ncbi.nlm.nih.gov/gene/?term=153572
IRX1	IRX1	iroquois homeobox 1	79192	https://www.ncbi.nlm.nih.gov/gene/?term=79192
HDAC1	HDAC1	histone deacetylase 1	3065	https://www.ncbi.nlm.nih.gov/gene/?term=3065
HDAC3	HDAC3	histone deacetylase 3	8841	https://www.ncbi.nlm.nih.gov/gene/?term=8841
ATF6	ATF6	activating transcription factor 6	22926	https://www.ncbi.nlm.nih.gov/gene/?term=22926
CDC73	CDC73	cell division cycle 73	79577	https://www.ncbi.nlm.nih.gov/gene/?term=79577
DR1	DR1	down-regulator of transcription 1	1810	https://www.ncbi.nlm.nih.gov/gene/?term=1810
BCL10	BCL10	BCL10, immune signaling adaptor	8915	https://www.ncbi.nlm.nih.gov/gene/?term=8915
ZZZ3	ZZZ3	zinc finger ZZ-type containing 3	26009	https://www.ncbi.nlm.nih.gov/gene/?term=26009
NFIA	NFIA	nuclear factor I A	4774	https://www.ncbi.nlm.nih.gov/gene/?term=4774
SPDEF	SPDEF	SAM pointed domain containing ETS transcription factor	25803	https://www.ncbi.nlm.nih.gov/gene/?term=25803
PPARD	PPARD	peroxisome proliferator activated receptor delta	5467	https://www.ncbi.nlm.nih.gov/gene/?term=5467
ELK4	ELK4	ELK4, ETS transcription factor	2005	https://www.ncbi.nlm.nih.gov/gene/?term=2005
KDM5B	KDM5B	lysine demethylase 5B	10765	https://www.ncbi.nlm.nih.gov/gene/?term=10765
ZNF341	ZNF341	zinc finger protein 341	84905	https://www.ncbi.nlm.nih.gov/gene/?term=84905
NCOA3	NCOA3	nuclear receptor coactivator 3	8202	https://www.ncbi.nlm.nih.gov/gene/?term=8202
ZNF217	ZNF217	zinc finger protein 217	7764	https://www.ncbi.nlm.nih.gov/gene/?term=7764
UHRF1	UHRF1	ubiquitin like with PHD and ring finger domains 1	29128	https://www.ncbi.nlm.nih.gov/gene/?term=29128
KLF11	KLF11	Kruppel like factor 11	8462	https://www.ncbi.nlm.nih.gov/gene/?term=8462
KLF16	KLF16	Kruppel like factor 16	83855	https://www.ncbi.nlm.nih.gov/gene/?term=83855
GATAD2A	GATAD2A	GATA zinc finger domain containing 2A	54815	https://www.ncbi.nlm.nih.gov/gene/?term=54815
JUN	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	3725	https://www.ncbi.nlm.nih.gov/gene/?term=3725
ARID3A	ARID3A	AT-rich interaction domain 3A	1820	https://www.ncbi.nlm.nih.gov/gene/?term=1820
ZNF511	ZNF511	zinc finger protein 511	118472	https://www.ncbi.nlm.nih.gov/gene/?term=118472
ERF	ERF	ETS2 repressor factor	2077	https://www.ncbi.nlm.nih.gov/gene/?term=2077
FOS	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	2353	https://www.ncbi.nlm.nih.gov/gene/?term=2353
CIC	CIC	capicua transcriptional repressor	23152	https://www.ncbi.nlm.nih.gov/gene/?term=23152
ZNF410	ZNF410	zinc finger protein 410	57862	https://www.ncbi.nlm.nih.gov/gene/?term=57862
ZFP36L1	ZFP36L1	ZFP36 ring finger protein like 1	677	https://www.ncbi.nlm.nih.gov/gene/?term=677
CREB3L1	CREB3L1	cAMP responsive element binding protein 3 like 1	90993	https://www.ncbi.nlm.nih.gov/gene/?term=90993
NR1H3	NR1H3	nuclear receptor subfamily 1 group H member 3	10062	https://www.ncbi.nlm.nih.gov/gene/?term=10062
CCND1	CCND1	cyclin D1	595	https://www.ncbi.nlm.nih.gov/gene/?term=595
EHF	EHF	ETS homologous factor	26298	https://www.ncbi.nlm.nih.gov/gene/?term=26298
ELF5	ELF5	E74 like ETS transcription factor 5	2001	https://www.ncbi.nlm.nih.gov/gene/?term=2001
SSRP1	SSRP1	structure specific recognition protein 1	6749	https://www.ncbi.nlm.nih.gov/gene/?term=6749
KDM2A	KDM2A	lysine demethylase 2A	22992	https://www.ncbi.nlm.nih.gov/gene/?term=22992
TFCP2L1	TFCP2L1	transcription factor CP2 like 1	29842	https://www.ncbi.nlm.nih.gov/gene/?term=29842
NR4A2	NR4A2	nuclear receptor subfamily 4 group A member 2	4929	https://www.ncbi.nlm.nih.gov/gene/?term=4929
ATF2	ATF2	activating transcription factor 2	1386	https://www.ncbi.nlm.nih.gov/gene/?term=1386
IKZF2	IKZF2	IKAROS family zinc finger 2	22807	https://www.ncbi.nlm.nih.gov/gene/?term=22807
MEIS1	MEIS1	Meis homeobox 1	4211	https://www.ncbi.nlm.nih.gov/gene/?term=4211
GRHL1	GRHL1	grainyhead like transcription factor 1	29841	https://www.ncbi.nlm.nih.gov/gene/?term=29841
ZNF451	ZNF451	zinc finger protein 451	26036	https://www.ncbi.nlm.nih.gov/gene/?term=26036
TBX3	TBX3	T-box 3	6926	https://www.ncbi.nlm.nih.gov/gene/?term=6926
GRHL3	GRHL3	grainyhead like transcription factor 3	57822	https://www.ncbi.nlm.nih.gov/gene/?term=57822
SUPT4H1	SUPT4H1	SPT4 homolog, DSIF elongation factor subunit	6827	https://www.ncbi.nlm.nih.gov/gene/?term=6827
