chr	start	end	samples
scaffold-Z	5286595	5286841	RVG11_RVG1_RVG4
scaffold-Z	5287190	5287409	RVG1_RVG4
scaffold-Z	5300010	5300614	RVG11_RVG1_RVG4
scaffold-Z	5308916	5310178	RVG11_RVG1_RVG1_RVG4_RVG4
scaffold-Z	5314732	5314938	RVG11_RVG1_RVG4
scaffold-Z	5336659	5337385	RVG11_RVG1_RVG4
scaffold-Z	5364322	5364474	RVG11_RVG1
scaffold-Z	5498020	5498220	RVG11_RVG1_RVG4
scaffold-Z	5773162	5773518	RVG11_RVG1_RVG4
scaffold-Z	5926230	5926385	RVG11_RVG1_RVG4
scaffold-Z	5927950	5928163	RVG1_RVG4
scaffold-Z	5939461	5939625	RVG11_RVG1
scaffold-Z	6016307	6016615	RVG11_RVG1_RVG4
scaffold-Z	6154784	6154909	RVG11_RVG1
scaffold-Z	6273684	6274113	RVG11_RVG1_RVG4
scaffold-Z	6276146	6276254	RVG11_RVG1
scaffold-Z	6376836	6377112	RVG11_RVG1_RVG4
scaffold-Z	6408030	6408276	RVG11_RVG1_RVG4
scaffold-Z	6412095	6412530	RVG11_RVG1_RVG4
scaffold-Z	6469236	6469377	RVG11_RVG1
scaffold-Z	6643362	6644042	RVG11_RVG1_RVG4
scaffold-Z	6697176	6697344	RVG11_RVG4
scaffold-Z	6732129	6732317	RVG11_RVG1
scaffold-Z	6789469	6789841	RVG11_RVG1_RVG4
scaffold-Z	6882702	6882969	RVG11_RVG1_RVG4
scaffold-Z	6924801	6925255	RVG11_RVG1_RVG4
scaffold-Z	7337145	7337403	RVG11_RVG1_RVG4
scaffold-Z	7351486	7352139	RVG11_RVG1_RVG4
scaffold-Z	7376032	7377220	RVG11_RVG11_RVG1_RVG4
scaffold-Z	7405772	7406198	RVG11_RVG1_RVG4
scaffold-Z	7410577	7410939	RVG11_RVG1_RVG4
scaffold-Z	7451115	7451950	RVG11_RVG1_RVG1_RVG4
scaffold-Z	7503113	7503435	RVG11_RVG1_RVG4
scaffold-Z	7516441	7517228	RVG11_RVG1_RVG1_RVG4
scaffold-Z	7574633	7574878	RVG11_RVG1
scaffold-Z	8048197	8048585	RVG11_RVG1_RVG4
scaffold-Z	8128511	8129073	RVG11_RVG1_RVG4
scaffold-Z	8331131	8331290	RVG11_RVG1
scaffold-Z	8359635	8359825	RVG11_RVG1
scaffold-Z	8360101	8360343	RVG11_RVG1
scaffold-Z	8445929	8446176	RVG11_RVG1
scaffold-Z	8504798	8505194	RVG11_RVG1_RVG4
scaffold-Z	8542620	8542759	RVG11_RVG1
scaffold-Z	8559274	8559476	RVG11_RVG1_RVG4
scaffold-Z	8571584	8572296	RVG11_RVG1_RVG4
scaffold-Z	8575905	8576043	RVG11_RVG1_RVG4
scaffold-Z	8626588	8627004	RVG11_RVG1_RVG4
scaffold-Z	8643475	8643751	RVG1_RVG4
scaffold-Z	8791158	8791374	RVG11_RVG1_RVG4
scaffold-Z	8849887	8850247	RVG11_RVG1_RVG4
scaffold-Z	8851205	8851486	RVG11_RVG1_RVG4
scaffold-Z	8862265	8862390	RVG11_RVG1_RVG4
scaffold-Z	8876980	8877133	RVG11_RVG4
scaffold-Z	8913583	8913967	RVG11_RVG1_RVG4
scaffold-Z	8985726	8985824	RVG11_RVG1
scaffold-Z	9098158	9098853	RVG11_RVG11_RVG1_RVG1_RVG4
scaffold-Z	9139192	9139351	RVG11_RVG1_RVG4
scaffold-Z	9158044	9158195	RVG11_RVG4
scaffold-Z	9160538	9160872	RVG11_RVG1_RVG4
scaffold-Z	9166472	9166845	RVG11_RVG1_RVG4
scaffold-Z	9170497	9170613	RVG11_RVG1_RVG4
scaffold-Z	9173027	9173393	RVG11_RVG4
scaffold-Z	9191618	9191783	RVG11_RVG1_RVG4
scaffold-Z	9226778	9227128	RVG11_RVG1_RVG4
scaffold-Z	9229855	9230056	RVG11_RVG4
scaffold-Z	9252462	9252589	RVG1_RVG4
scaffold-Z	9314356	9314645	RVG11_RVG1_RVG4
scaffold-Z	9341056	9341175	RVG1_RVG4
scaffold-Z	9372780	9373476	RVG11_RVG1_RVG4
scaffold-Z	9387250	9387580	RVG11_RVG1_RVG4
scaffold-Z	9464423	9464742	RVG11_RVG1_RVG4
scaffold-Z	9478364	9478945	RVG11_RVG1_RVG4
scaffold-Z	9484435	9484874	RVG11_RVG4
scaffold-Z	9501007	9502112	RVG11_RVG1_RVG4
scaffold-Z	9524282	9525051	RVG11_RVG1_RVG4
scaffold-Z	9546297	9546768	RVG11_RVG1_RVG4
scaffold-Z	9549647	9549940	RVG11_RVG1_RVG4
scaffold-Z	9566851	9567116	RVG11_RVG1_RVG4
scaffold-Z	9568984	9569275	RVG11_RVG4
scaffold-Z	9579510	9580002	RVG11_RVG1_RVG4
scaffold-Z	9582134	9582475	RVG11_RVG1_RVG4
scaffold-Z	9586276	9586690	RVG11_RVG1_RVG4
scaffold-Z	9605108	9605329	RVG11_RVG4
scaffold-Z	9771131	9771409	RVG1_RVG4
scaffold-Z	9817619	9817782	RVG1_RVG4
scaffold-Z	9921349	9921545	RVG1_RVG4
scaffold-Z	10300961	10301076	RVG1_RVG4
scaffold-Z	10714117	10714308	RVG11_RVG1
scaffold-Z	10862696	10862909	RVG1_RVG4
scaffold-Z	10887147	10887306	RVG11_RVG1_RVG4
scaffold-Z	10922498	10922711	RVG11_RVG1_RVG4
scaffold-Z	10949967	10950223	RVG11_RVG4
scaffold-Z	10981611	10981785	RVG11_RVG4
scaffold-Z	10986949	10987098	RVG11_RVG1
scaffold-Z	10990058	10990827	RVG11_RVG1_RVG4
scaffold-Z	10992061	10992799	RVG11_RVG11_RVG1_RVG1_RVG4
scaffold-Z	11002423	11002727	RVG11_RVG1_RVG4
scaffold-Z	11004180	11004436	RVG11_RVG1_RVG4
scaffold-Z	11008100	11008216	RVG11_RVG1
scaffold-Z	11076378	11076737	RVG1_RVG4
scaffold-Z	11225205	11225494	RVG11_RVG1_RVG4
scaffold-Z	11322608	11323112	RVG11_RVG1_RVG4
scaffold-Z	11551084	11551353	RVG11_RVG1_RVG4
scaffold-Z	11609495	11609762	RVG11_RVG1_RVG4
scaffold-Z	11612103	11612651	RVG11_RVG1_RVG4
scaffold-Z	11666188	11666468	RVG11_RVG1_RVG4
scaffold-Z	11801868	11802205	RVG11_RVG1_RVG4
scaffold-Z	11932627	11933022	RVG11_RVG1_RVG4
scaffold-Z	11943578	11944002	RVG11_RVG1_RVG4
scaffold-Z	11981023	11981206	RVG1_RVG4
scaffold-Z	12187806	12188251	RVG11_RVG1_RVG4
scaffold-Z	12283457	12283682	RVG11_RVG1
scaffold-Z	12467713	12467968	RVG11_RVG1_RVG4
scaffold-Z	12480908	12481272	RVG11_RVG1_RVG4
scaffold-Z	12614534	12614748	RVG1_RVG4
scaffold-Z	12671711	12671931	RVG11_RVG4
scaffold-Z	12734852	12734965	RVG11_RVG1_RVG4
scaffold-Z	12741888	12742144	RVG11_RVG1_RVG4
scaffold-Z	12743601	12743950	RVG11_RVG1_RVG4
scaffold-Z	12864516	12864673	RVG11_RVG4
scaffold-Z	12888207	12888380	RVG11_RVG1
scaffold-Z	12941793	12942579	RVG11_RVG1_RVG1_RVG4
scaffold-Z	12975934	12976627	RVG11_RVG1_RVG4
scaffold-Z	12977032	12977271	RVG11_RVG1_RVG4
scaffold-Z	12994881	12995843	RVG11_RVG1_RVG4
scaffold-Z	13004369	13005392	RVG11_RVG1_RVG4
scaffold-Z	13023563	13024143	RVG11_RVG1_RVG4
scaffold-Z	13031024	13031343	RVG11_RVG1_RVG4
scaffold-Z	13038657	13038821	RVG11_RVG1_RVG4
scaffold-Z	13102916	13103317	RVG11_RVG1_RVG4
scaffold-Z	13139065	13139528	RVG11_RVG1_RVG4
scaffold-Z	13150184	13150371	RVG11_RVG1
scaffold-Z	13150798	13151067	RVG11_RVG1_RVG4
scaffold-Z	13168587	13168780	RVG11_RVG1_RVG4
scaffold-Z	13174203	13174445	RVG11_RVG4
scaffold-Z	13182805	13182982	RVG1_RVG4
scaffold-Z	13186547	13186755	RVG11_RVG1_RVG4
scaffold-Z	13190077	13190342	RVG11_RVG4
scaffold-Z	13214585	13214714	RVG11_RVG1
scaffold-Z	13216601	13216898	RVG11_RVG1_RVG4
scaffold-Z	13219295	13219538	RVG11_RVG4
scaffold-Z	13228216	13228433	RVG11_RVG4
scaffold-Z	13232608	13233578	RVG11_RVG1_RVG4
scaffold-Z	13241546	13241834	RVG11_RVG1_RVG4
scaffold-Z	13243534	13243726	RVG11_RVG1
scaffold-Z	13247915	13248074	RVG11_RVG4
scaffold-Z	13357496	13357773	RVG1_RVG4
scaffold-Z	13387028	13387299	RVG11_RVG1_RVG4
scaffold-Z	13468591	13468760	RVG11_RVG1
scaffold-Z	13532072	13532273	RVG11_RVG1
scaffold-Z	13540657	13540987	RVG11_RVG1_RVG4
scaffold-Z	13613506	13613637	RVG11_RVG1
scaffold-Z	13626886	13627254	RVG11_RVG1_RVG4
scaffold-Z	13628741	13629264	RVG11_RVG1_RVG4
scaffold-Z	13646260	13646765	RVG11_RVG1
scaffold-Z	13646861	13647102	RVG11_RVG1_RVG4
scaffold-Z	13802147	13802450	RVG11_RVG1_RVG4
scaffold-Z	13916954	13917212	RVG1_RVG4
scaffold-Z	13952934	13953253	RVG11_RVG1_RVG4
scaffold-Z	14116380	14116517	RVG11_RVG1_RVG4
scaffold-Z	14140855	14141278	RVG11_RVG1_RVG4
scaffold-Z	14190731	14190826	RVG11_RVG1
scaffold-Z	14276185	14276544	RVG11_RVG1
scaffold-Z	14281489	14281710	RVG11_RVG1_RVG4
scaffold-Z	14327810	14328256	RVG11_RVG1_RVG4
scaffold-Z	14345684	14345995	RVG1_RVG4
scaffold-Z	14366018	14366290	RVG11_RVG1_RVG4
scaffold-Z	14373349	14373661	RVG11_RVG1_RVG4
scaffold-Z	14445304	14445602	RVG11_RVG1_RVG4
scaffold-Z	14488267	14488717	RVG11_RVG1_RVG4
scaffold-Z	14493941	14494437	RVG11_RVG11_RVG1_RVG1_RVG4
scaffold-Z	14631793	14632388	RVG11_RVG1_RVG4
scaffold-Z	14783576	14783990	RVG11_RVG1_RVG4
scaffold-Z	14794875	14795241	RVG11_RVG1_RVG4
scaffold-Z	14804678	14805256	RVG11_RVG1_RVG1_RVG4
scaffold-Z	14877785	14878268	RVG11_RVG1_RVG4
scaffold-Z	14887884	14888087	RVG1_RVG4
scaffold-Z	14888256	14888421	RVG11_RVG1
scaffold-Z	14906002	14906623	RVG11_RVG1_RVG4
scaffold-Z	14945104	14945267	RVG11_RVG1
scaffold-Z	14955559	14955775	RVG11_RVG1_RVG4
scaffold-Z	14972315	14972691	RVG11_RVG1_RVG4
scaffold-Z	14976693	14976911	RVG11_RVG1_RVG4
scaffold-Z	14985640	14985879	RVG11_RVG1_RVG4
scaffold-Z	14986285	14986797	RVG11_RVG1_RVG4
scaffold-Z	15019422	15019799	RVG11_RVG1_RVG4
scaffold-Z	15028295	15028433	RVG11_RVG1
scaffold-Z	15030945	15031072	RVG11_RVG1
scaffold-Z	15040201	15040441	RVG11_RVG1_RVG4
scaffold-Z	15210308	15210732	RVG11_RVG1_RVG4
scaffold-Z	15363421	15364128	RVG11_RVG1_RVG4
scaffold-Z	15439270	15439574	RVG11_RVG1_RVG4
scaffold-Z	15445079	15445311	RVG11_RVG1
scaffold-Z	15455663	15455949	RVG11_RVG1_RVG4
scaffold-Z	15545607	15545867	RVG11_RVG1
scaffold-Z	15578828	15579056	RVG11_RVG1_RVG4
scaffold-Z	15584439	15584633	RVG11_RVG4
scaffold-Z	15592492	15593037	RVG11_RVG1_RVG4
scaffold-Z	15597177	15597385	RVG11_RVG4
scaffold-Z	15606284	15606645	RVG11_RVG1_RVG4
scaffold-Z	15679802	15680318	RVG11_RVG1_RVG1_RVG4
scaffold-Z	15692431	15692626	RVG11_RVG1_RVG4
scaffold-Z	15694859	15694969	RVG1_RVG4
scaffold-Z	15706488	15706652	RVG11_RVG1_RVG4
scaffold-Z	15776861	15777077	RVG11_RVG1_RVG4
scaffold-Z	15777229	15777820	RVG11_RVG1_RVG4
scaffold-Z	15816318	15816540	RVG11_RVG1_RVG4
scaffold-Z	15851559	15852026	RVG11_RVG1_RVG4
scaffold-Z	15864088	15864326	RVG1_RVG4
scaffold-Z	15885381	15885687	RVG11_RVG1_RVG4
scaffold-Z	15904251	15904625	RVG11_RVG1_RVG4
scaffold-Z	15947544	15947749	RVG11_RVG1_RVG4
scaffold-Z	16163661	16164047	RVG11_RVG1_RVG4
scaffold-Z	16180063	16180384	RVG11_RVG1_RVG4
scaffold-Z	16259466	16259810	RVG11_RVG1_RVG4
scaffold-Z	16325784	16326472	RVG11_RVG1_RVG4
scaffold-Z	16338280	16338403	RVG1_RVG4
scaffold-Z	16364173	16364358	RVG11_RVG1_RVG4
scaffold-Z	16417026	16417604	RVG11_RVG1_RVG4
scaffold-Z	16457172	16457334	RVG11_RVG1
scaffold-Z	16515506	16515894	RVG11_RVG1_RVG4
scaffold-Z	16607952	16608285	RVG11_RVG1_RVG4
scaffold-Z	16706902	16707003	RVG11_RVG1
scaffold-Z	16769517	16769923	RVG11_RVG1_RVG4
scaffold-Z	16770688	16771256	RVG11_RVG1_RVG4
scaffold-Z	16771980	16772150	RVG11_RVG1
scaffold-Z	16832238	16832434	RVG11_RVG1_RVG4
scaffold-Z	16840294	16840825	RVG11_RVG1_RVG4
scaffold-Z	16865161	16865614	RVG11_RVG1_RVG4
scaffold-Z	16866251	16866590	RVG11_RVG1_RVG4
scaffold-Z	16897918	16898062	RVG11_RVG1_RVG4
scaffold-Z	16912663	16913060	RVG11_RVG4
scaffold-Z	16920133	16920683	RVG11_RVG1_RVG4
scaffold-Z	16934745	16934999	RVG11_RVG1_RVG4
scaffold-Z	16935164	16935406	RVG11_RVG4
scaffold-Z	16953523	16953786	RVG11_RVG1_RVG4
scaffold-Z	16959140	16959494	RVG11_RVG1_RVG4
scaffold-Z	16960129	16960251	RVG11_RVG1
scaffold-Z	16998085	16998415	RVG1_RVG4
scaffold-Z	17006313	17006606	RVG1_RVG4
scaffold-Z	17022504	17022631	RVG1_RVG4
scaffold-Z	17047171	17048252	RVG11_RVG1_RVG1_RVG4
scaffold-Z	17088256	17088422	RVG11_RVG1
scaffold-Z	17264795	17265561	RVG11_RVG1_RVG1_RVG4
scaffold-Z	17288444	17288855	RVG11_RVG1_RVG4
scaffold-Z	17337455	17338268	RVG11_RVG1_RVG1_RVG4
scaffold-Z	17379840	17380028	RVG11_RVG4
scaffold-Z	17386338	17387118	RVG11_RVG1_RVG1_RVG4
scaffold-Z	17572916	17573358	RVG11_RVG1_RVG4
scaffold-Z	17595294	17595454	RVG11_RVG1
scaffold-Z	17602545	17602760	RVG11_RVG1_RVG4
scaffold-Z	17638635	17638971	RVG11_RVG1_RVG4
scaffold-Z	17755361	17755756	RVG1_RVG4
scaffold-Z	17878903	17879300	RVG11_RVG1_RVG4
scaffold-Z	17921067	17921617	RVG11_RVG1_RVG1_RVG4
scaffold-Z	17936524	17937084	RVG11_RVG1_RVG4
scaffold-Z	18013138	18013388	RVG1_RVG4
scaffold-Z	18027961	18028406	RVG11_RVG1_RVG4
scaffold-Z	18029035	18029352	RVG11_RVG1_RVG4
scaffold-Z	18029591	18029795	RVG11_RVG1
scaffold-Z	18109061	18109316	RVG1_RVG4
scaffold-Z	18110732	18111059	RVG11_RVG1_RVG4
scaffold-Z	18122547	18123173	RVG11_RVG1_RVG4
scaffold-Z	18167591	18167774	RVG11_RVG1_RVG4
scaffold-Z	18168386	18169186	RVG11_RVG1_RVG4
scaffold-Z	18202869	18203498	RVG11_RVG1_RVG4
scaffold-Z	18251155	18251305	RVG11_RVG4
scaffold-Z	18260573	18260684	RVG11_RVG1_RVG4
scaffold-Z	18277798	18278087	RVG11_RVG1_RVG4
scaffold-Z	18287021	18287629	RVG11_RVG1_RVG4
scaffold-Z	18337776	18338492	RVG11_RVG1_RVG1_RVG4
scaffold-Z	18396048	18396194	RVG11_RVG1
scaffold-Z	18456405	18456655	RVG11_RVG1_RVG4
scaffold-Z	18467982	18468398	RVG11_RVG1_RVG4
scaffold-Z	18468502	18469014	RVG11_RVG1_RVG4
scaffold-Z	18489414	18490185	RVG11_RVG1_RVG4
scaffold-Z	18513179	18513502	RVG11_RVG1_RVG4
scaffold-Z	18677885	18678596	RVG11_RVG4
scaffold-Z	18678807	18679190	RVG11_RVG1_RVG4
scaffold-Z	18687563	18687809	RVG11_RVG1_RVG4
scaffold-Z	18911822	18911954	RVG1_RVG4
scaffold-Z	18933610	18933826	RVG11_RVG1_RVG4
scaffold-Z	19004198	19004390	RVG11_RVG1
scaffold-Z	19004979	19005334	RVG11_RVG1_RVG4
scaffold-Z	19027337	19027658	RVG11_RVG1_RVG4
scaffold-Z	19034931	19035256	RVG11_RVG1_RVG4
scaffold-Z	19057061	19057251	RVG1_RVG4
scaffold-Z	19081479	19082204	RVG11_RVG1_RVG1_RVG4
scaffold-Z	19093304	19093819	RVG11_RVG1_RVG4
scaffold-Z	19113016	19113564	RVG11_RVG1_RVG4
scaffold-Z	19162533	19163000	RVG11_RVG1_RVG4
scaffold-Z	19268508	19268684	RVG11_RVG1_RVG4
scaffold-Z	19272497	19272792	RVG11_RVG1_RVG4
scaffold-Z	19306270	19306633	RVG11_RVG1_RVG4
scaffold-Z	19592382	19592833	RVG11_RVG1
scaffold-Z	19623478	19623619	RVG11_RVG1_RVG4
scaffold-Z	19704149	19704370	RVG11_RVG1_RVG4
scaffold-Z	19821976	19822337	RVG11_RVG1_RVG4
scaffold-Z	19916898	19917221	RVG11_RVG1_RVG4
scaffold-Z	19941268	19941440	RVG11_RVG1_RVG4
scaffold-Z	19967560	19968505	RVG11_RVG11_RVG1_RVG4
scaffold-Z	19974781	19974964	RVG11_RVG4
scaffold-Z	19997995	19998205	RVG11_RVG1_RVG4
scaffold-Z	20035106	20035508	RVG11_RVG1_RVG4
scaffold-Z	20146678	20147017	RVG11_RVG1_RVG4
scaffold-Z	20159611	20159833	RVG11_RVG4
scaffold-Z	20173089	20173379	RVG11_RVG1_RVG4
scaffold-Z	20226574	20227051	RVG11_RVG1_RVG4
scaffold-Z	20293537	20293803	RVG11_RVG1_RVG4
scaffold-Z	20324859	20325082	RVG1_RVG4
scaffold-Z	20354389	20354649	RVG11_RVG4
scaffold-Z	20354762	20355068	RVG11_RVG1_RVG4
scaffold-Z	20360442	20360949	RVG11_RVG1_RVG4
scaffold-Z	20453270	20453427	RVG11_RVG1
scaffold-Z	20516465	20516748	RVG11_RVG1
scaffold-Z	20573422	20574094	RVG11_RVG1_RVG4
scaffold-Z	20821797	20822358	RVG11_RVG1_RVG4
scaffold-Z	20873833	20874053	RVG11_RVG1
scaffold-Z	20949012	20949659	RVG11_RVG1_RVG4
scaffold-Z	20950538	20950756	RVG11_RVG1_RVG4
scaffold-Z	21107813	21108269	RVG11_RVG4
scaffold-Z	21140203	21140377	RVG11_RVG4
scaffold-Z	21179035	21179250	RVG1_RVG4
scaffold-Z	21213786	21214260	RVG11_RVG1_RVG4
scaffold-Z	21242798	21242957	RVG1_RVG4
scaffold-Z	21258564	21258714	RVG11_RVG1_RVG4
scaffold-Z	21280187	21280786	RVG11_RVG1_RVG4
scaffold-Z	21486501	21486895	RVG11_RVG1_RVG4
scaffold-Z	21509824	21510249	RVG11_RVG1_RVG4
scaffold-Z	21639452	21639855	RVG11_RVG1_RVG4
scaffold-Z	21646553	21647251	RVG11_RVG1_RVG1_RVG4
scaffold-Z	21703079	21703340	RVG11_RVG1_RVG4
scaffold-Z	21703495	21703647	RVG11_RVG1
scaffold-Z	22110687	22111225	RVG11_RVG1_RVG4
scaffold-Z	22141812	22142077	RVG11_RVG4
scaffold-Z	22283547	22283900	RVG11_RVG1_RVG4
scaffold-Z	22321147	22321348	RVG11_RVG4
scaffold-Z	22322093	22322919	RVG11_RVG1_RVG4
scaffold-Z	22329120	22329806	RVG11_RVG1_RVG4
scaffold-Z	22346469	22346702	RVG11_RVG4
scaffold-Z	22347984	22348548	RVG11_RVG4
scaffold-Z	22445538	22446241	RVG11_RVG1_RVG4
scaffold-Z	22449942	22450094	RVG11_RVG4
scaffold-Z	22482504	22482670	RVG1_RVG4
scaffold-Z	22666949	22667543	RVG11_RVG1_RVG4
scaffold-Z	22900850	22900976	RVG11_RVG1
scaffold-Z	23000301	23000559	RVG11_RVG1_RVG4
scaffold-Z	23059053	23059297	RVG11_RVG1
scaffold-Z	23135165	23135321	RVG1_RVG4
scaffold-Z	23203547	23203777	RVG11_RVG4
scaffold-Z	23204181	23204309	RVG11_RVG1_RVG4
scaffold-Z	23289200	23289422	RVG1_RVG4
scaffold-Z	23414991	23415301	RVG11_RVG1_RVG4
scaffold-Z	23472779	23472893	RVG11_RVG1_RVG4
scaffold-Z	23503054	23503499	RVG11_RVG1_RVG4
scaffold-Z	23513355	23513980	RVG11_RVG1_RVG4
scaffold-Z	23517545	23517815	RVG1_RVG4
scaffold-Z	23525099	23527132	RVG11_RVG1_RVG1_RVG1_RVG4_RVG4
scaffold-Z	23587620	23587886	RVG11_RVG4
scaffold-Z	23749414	23749793	RVG11_RVG1_RVG4
scaffold-Z	23843119	23843740	RVG11_RVG1_RVG4
scaffold-Z	23864391	23864603	RVG1_RVG4
scaffold-Z	23989858	23990971	RVG11_RVG11_RVG1_RVG1_RVG4_RVG4
scaffold-Z	24004989	24005645	RVG11_RVG1_RVG1_RVG4
scaffold-Z	24012854	24013091	RVG11_RVG4
scaffold-Z	24013197	24013718	RVG11_RVG1_RVG1_RVG4
scaffold-Z	24014447	24014681	RVG11_RVG4
