crovir-transcript-15539,43162_crovir-transcript-15539
crovir-transcript-8535,ACKR3_crovir-transcript-8535
crovir-transcript-2498,ACLY_crovir-transcript-2498
crovir-transcript-12064,ACO2_crovir-transcript-12064
crovir-transcript-3259,ACOD1_crovir-transcript-3259
crovir-transcript-5994,ACOT11_crovir-transcript-5994
crovir-transcript-15666,ACOT12_crovir-transcript-15666
crovir-transcript-5287,ACOT13_crovir-transcript-5287
crovir-transcript-1148,ACOT7_crovir-transcript-1148
crovir-transcript-3547,ACOT9_crovir-transcript-3547
crovir-transcript-14212,ACOX1_crovir-transcript-14212
crovir-transcript-13316,ACOX2_crovir-transcript-13316
crovir-transcript-16748,ACOX3_crovir-transcript-16748
crovir-transcript-8805,ACP1_crovir-transcript-8805
crovir-transcript-7518,ACP2_crovir-transcript-7518
crovir-transcript-15033,ACP5_crovir-transcript-15033
crovir-transcript-3758,ACP6_crovir-transcript-3758
crovir-transcript-2146,ACPP_crovir-transcript-2146
crovir-transcript-2149,ACPP_crovir-transcript-2149
crovir-transcript-12263,ACRBP_crovir-transcript-12263
crovir-transcript-15109,ACRBP_crovir-transcript-15109
crovir-transcript-11096,ACSBG1_crovir-transcript-11096
crovir-transcript-16243,ACSF3_crovir-transcript-16243
crovir-transcript-16244,ACSF3_crovir-transcript-16244
crovir-transcript-4588,ACSL1_crovir-transcript-4588
crovir-transcript-10753,ACSL3_crovir-transcript-10753
crovir-transcript-3603,ACSL4_crovir-transcript-3603
crovir-transcript-10496,ACSL6_crovir-transcript-10496
crovir-transcript-13913,ACSL6_crovir-transcript-13913
crovir-transcript-382,ACSM3_crovir-transcript-382
crovir-transcript-9755,ACSS1_crovir-transcript-9755
crovir-transcript-6445,ACSS2_crovir-transcript-6445
crovir-transcript-11920,ACSS3_crovir-transcript-11920
crovir-transcript-9384,ACTA1_crovir-transcript-9384
crovir-transcript-14366,ACTG1_crovir-transcript-14366
crovir-transcript-12970,ACTG2_crovir-transcript-12970
crovir-transcript-10936,ACTL6A_crovir-transcript-10936
crovir-transcript-12682,ACTL8_crovir-transcript-12682
crovir-transcript-15258,ACTN4_crovir-transcript-15258
crovir-transcript-8362,ACTN4_crovir-transcript-8362
crovir-transcript-6952,ACTR10_crovir-transcript-6952
crovir-transcript-10540,ACTR1A_crovir-transcript-10540
crovir-transcript-12921,ACTR1A_crovir-transcript-12921
crovir-transcript-10446,ACTR2_crovir-transcript-10446
crovir-transcript-1764,ACTR3_crovir-transcript-1764
crovir-transcript-8136,ACTR3_crovir-transcript-8136
crovir-transcript-6496,ACTR5_crovir-transcript-6496
crovir-transcript-11995,ACTR6_crovir-transcript-11995
crovir-transcript-13539,ACTR8_crovir-transcript-13539
crovir-transcript-8221,ACVR1_crovir-transcript-8221
crovir-transcript-8220,ACVR1C_crovir-transcript-8220
crovir-transcript-8164,ACVR2A_crovir-transcript-8164
crovir-transcript-1753,ACVR2B_crovir-transcript-1753
crovir-transcript-14452,ACVRL1_crovir-transcript-14452
crovir-transcript-13639,ACY1_crovir-transcript-13639
crovir-transcript-13640,ACY1_crovir-transcript-13640
crovir-transcript-7946,ACY3_crovir-transcript-7946
crovir-transcript-7189,ACYP1_crovir-transcript-7189
crovir-transcript-6529,ADA_crovir-transcript-6529
crovir-transcript-12291,ADA2_crovir-transcript-12291
crovir-transcript-1290,ADAD1_crovir-transcript-1290
crovir-transcript-4523,ADAD1_crovir-transcript-4523
crovir-transcript-11076,ADAL_crovir-transcript-11076
crovir-transcript-11048,ADAM10_crovir-transcript-11048
crovir-transcript-2457,ADAM11_crovir-transcript-2457
crovir-transcript-10407,ADAM12_crovir-transcript-10407
crovir-transcript-10408,ADAM12_crovir-transcript-10408
crovir-transcript-12550,ADAM15_crovir-transcript-12550
crovir-transcript-8762,ADAM17_crovir-transcript-8762
crovir-transcript-13777,ADAM19_crovir-transcript-13777
crovir-transcript-13779,ADAM19_crovir-transcript-13779
crovir-transcript-1888,ADAM22_crovir-transcript-1888
crovir-transcript-12904,ADAM32_crovir-transcript-12904
crovir-transcript-7250,ADAM33_crovir-transcript-7250
crovir-transcript-12846,ADAM9_crovir-transcript-12846
crovir-transcript-12906,ADAM9_crovir-transcript-12906
crovir-transcript-3724,ADAMTS1_crovir-transcript-3724
crovir-transcript-6734,ADAMTS10_crovir-transcript-6734
crovir-transcript-1486,ADAMTS13_crovir-transcript-1486
crovir-transcript-1487,ADAMTS13_crovir-transcript-1487
crovir-transcript-10249,ADAMTS14_crovir-transcript-10249
crovir-transcript-10253,ADAMTS14_crovir-transcript-10253
crovir-transcript-12723,ADAMTS15_crovir-transcript-12723
crovir-transcript-5472,ADAMTS16_crovir-transcript-5472
crovir-transcript-5473,ADAMTS16_crovir-transcript-5473
crovir-transcript-5474,ADAMTS16_crovir-transcript-5474
crovir-transcript-11315,ADAMTS17_crovir-transcript-11315
crovir-transcript-11588,ADAMTS18_crovir-transcript-11588
crovir-transcript-15531,ADAMTS19_crovir-transcript-15531
crovir-transcript-15532,ADAMTS19_crovir-transcript-15532
crovir-transcript-13842,ADAMTS3_crovir-transcript-13842
crovir-transcript-4275,ADAMTS3_crovir-transcript-4275
crovir-transcript-12495,ADAMTS4_crovir-transcript-12495
crovir-transcript-3723,ADAMTS5_crovir-transcript-3723
crovir-transcript-15766,ADAMTS6_crovir-transcript-15766
crovir-transcript-12953,ADAMTS8_crovir-transcript-12953
crovir-transcript-13340,ADAMTS9_crovir-transcript-13340
crovir-transcript-13341,ADAMTS9_crovir-transcript-13341
crovir-transcript-15369,ADAMTSL1_crovir-transcript-15369
crovir-transcript-16648,ADAMTSL2_crovir-transcript-16648
crovir-transcript-16649,ADAMTSL2_crovir-transcript-16649
crovir-transcript-304,ADAP1_crovir-transcript-304
crovir-transcript-12545,ADAR_crovir-transcript-12545
crovir-transcript-8625,ADARB1_crovir-transcript-8625
crovir-transcript-1801,ADARB2_crovir-transcript-1801
crovir-transcript-1802,ADARB2_crovir-transcript-1802
crovir-transcript-9229,ADAT2_crovir-transcript-9229
crovir-transcript-7155,ADCK1_crovir-transcript-7155
crovir-transcript-7156,ADCK1_crovir-transcript-7156
crovir-transcript-12221,ADCK2_crovir-transcript-12221
crovir-transcript-5483,ADCY2_crovir-transcript-5483
crovir-transcript-9839,ADCY3_crovir-transcript-9839
crovir-transcript-3096,ADCY4_crovir-transcript-3096
crovir-transcript-8105,ADCY5_crovir-transcript-8105
crovir-transcript-7784,ADCY6_crovir-transcript-7784
crovir-transcript-11453,ADCY7_crovir-transcript-11453
crovir-transcript-6748,ADCY8_crovir-transcript-6748
crovir-transcript-1654,ADCY9_crovir-transcript-1654
crovir-transcript-1660,ADCY9_crovir-transcript-1660
crovir-transcript-5184,ADCYAP1_crovir-transcript-5184
crovir-transcript-1718,ADCYAP1R1_crovir-transcript-1718
crovir-transcript-16733,ADD1_crovir-transcript-16733
crovir-transcript-12995,ADD2_crovir-transcript-12995
crovir-transcript-12997,ADD2_crovir-transcript-12997
crovir-transcript-10508,ADD3_crovir-transcript-10508
crovir-transcript-10376,ADGRA1_crovir-transcript-10376
crovir-transcript-10377,ADGRA2_crovir-transcript-10377
crovir-transcript-10380,ADGRA2_crovir-transcript-10380
crovir-transcript-12817,ADGRA2_crovir-transcript-12817
crovir-transcript-16746,ADGRA3_crovir-transcript-16746
crovir-transcript-637,ADGRB2_crovir-transcript-637
crovir-transcript-4786,ADGRB3_crovir-transcript-4786
crovir-transcript-4788,ADGRB3_crovir-transcript-4788
crovir-transcript-638,ADGRB3_crovir-transcript-638
crovir-transcript-8877,ADGRB3_crovir-transcript-8877
crovir-transcript-8878,ADGRB3_crovir-transcript-8878
crovir-transcript-8880,ADGRB3_crovir-transcript-8880
crovir-transcript-8890,ADGRB3_crovir-transcript-8890
crovir-transcript-8891,ADGRB3_crovir-transcript-8891
crovir-transcript-4142,ADGRD1_crovir-transcript-4142
crovir-transcript-4143,ADGRD1_crovir-transcript-4143
crovir-transcript-1518,ADGRD2_crovir-transcript-1518
crovir-transcript-14069,ADGRE5_crovir-transcript-14069
crovir-transcript-8636,ADGRF5_crovir-transcript-8636
crovir-transcript-16043,ADGRG1_crovir-transcript-16043
crovir-transcript-16044,ADGRG1_crovir-transcript-16044
crovir-transcript-223,ADGRG6_crovir-transcript-223
crovir-transcript-9245,ADGRG6_crovir-transcript-9245
crovir-transcript-14070,ADGRL1_crovir-transcript-14070
crovir-transcript-15074,ADGRL2_crovir-transcript-15074
crovir-transcript-5873,ADGRL2_crovir-transcript-5873
crovir-transcript-5882,ADGRL4_crovir-transcript-5882
crovir-transcript-5885,ADGRL4_crovir-transcript-5885
crovir-transcript-5886,ADGRL4_crovir-transcript-5886
crovir-transcript-15647,ADGRV1_crovir-transcript-15647
crovir-transcript-5062,ADHFE1_crovir-transcript-5062
crovir-transcript-8837,ADI1_crovir-transcript-8837
crovir-transcript-3890,ADIPOQ_crovir-transcript-3890
crovir-transcript-12278,ADIPOR2_crovir-transcript-12278
crovir-transcript-9457,ADIRF_crovir-transcript-9457
crovir-transcript-10102,ADK_crovir-transcript-10102
crovir-transcript-7777,ADM_crovir-transcript-7777
crovir-transcript-6578,ADNP_crovir-transcript-6578
crovir-transcript-5269,ADNP2_crovir-transcript-5269
crovir-transcript-11155,ADPGK_crovir-transcript-11155
crovir-transcript-12290,ADPRH_crovir-transcript-12290
crovir-transcript-3358,ADPRHL1_crovir-transcript-3358
crovir-transcript-10115,ADPRHL2_crovir-transcript-10115
crovir-transcript-14146,ADPRM_crovir-transcript-14146
crovir-transcript-15762,ADRA1D_crovir-transcript-15762
crovir-transcript-6652,ADRM1_crovir-transcript-6652
crovir-transcript-12081,ADSL_crovir-transcript-12081
crovir-transcript-13873,ADSSL1_crovir-transcript-13873
crovir-transcript-9426,ADSSL1_crovir-transcript-9426
crovir-transcript-12782,AEBP1_crovir-transcript-12782
crovir-transcript-11366,AEBP2_crovir-transcript-11366
crovir-transcript-11292,AEN_crovir-transcript-11292
crovir-transcript-5507,AFAP1_crovir-transcript-5507
crovir-transcript-13991,AFAP1L1_crovir-transcript-13991
crovir-transcript-10483,AFAP1L2_crovir-transcript-10483
crovir-transcript-9357,AFDN_crovir-transcript-9357
crovir-transcript-4318,AFF1_crovir-transcript-4318
crovir-transcript-245,AFF2_crovir-transcript-245
crovir-transcript-251,AFF2_crovir-transcript-251
crovir-transcript-3417,AFF2_crovir-transcript-3417
crovir-transcript-3418,AFF3_crovir-transcript-3418
crovir-transcript-13939,AFF4_crovir-transcript-13939
crovir-transcript-9025,AFG1L_crovir-transcript-9025
crovir-transcript-5234,AFG3L2_crovir-transcript-5234
crovir-transcript-14310,AFMID_crovir-transcript-14310
crovir-transcript-8605,AFTPH_crovir-transcript-8605
crovir-transcript-4607,AGA_crovir-transcript-4607
crovir-transcript-14729,AGAP2_crovir-transcript-14729
crovir-transcript-8521,AGAP2_crovir-transcript-8521
crovir-transcript-8520,AGAP3_crovir-transcript-8520
crovir-transcript-11301,AGBL1_crovir-transcript-11301
crovir-transcript-12019,AGBL3_crovir-transcript-12019
crovir-transcript-12020,AGBL3_crovir-transcript-12020
crovir-transcript-9877,AGBL5_crovir-transcript-9877
crovir-transcript-10767,AGFG1_crovir-transcript-10767
crovir-transcript-15718,AGGF1_crovir-transcript-15718
crovir-transcript-12232,AGK_crovir-transcript-12232
crovir-transcript-12233,AGK_crovir-transcript-12233
crovir-transcript-5802,AGL_crovir-transcript-5802
crovir-transcript-1158,AGMAT_crovir-transcript-1158
crovir-transcript-1990,AGMO_crovir-transcript-1990
crovir-transcript-1991,AGMO_crovir-transcript-1991
crovir-transcript-1992,AGMO_crovir-transcript-1992
crovir-transcript-13394,AGO2_crovir-transcript-13394
crovir-transcript-1020,AGO4_crovir-transcript-1020
crovir-transcript-13138,AGPAT1_crovir-transcript-13138
crovir-transcript-16636,AGPAT2_crovir-transcript-16636
crovir-transcript-3631,AGPAT3_crovir-transcript-3631
crovir-transcript-9289,AGPAT4_crovir-transcript-9289
crovir-transcript-8319,AGPS_crovir-transcript-8319
crovir-transcript-2006,AGR2_crovir-transcript-2006
crovir-transcript-2007,AGR3_crovir-transcript-2007
crovir-transcript-1032,AGRN_crovir-transcript-1032
crovir-transcript-8881,AGRN_crovir-transcript-8881
crovir-transcript-8885,AGRN_crovir-transcript-8885
crovir-transcript-16000,AGRP_crovir-transcript-16000
crovir-transcript-9397,AGT_crovir-transcript-9397
crovir-transcript-15472,AGTPBP1_crovir-transcript-15472
crovir-transcript-16290,AGTRAP_crovir-transcript-16290
crovir-transcript-10645,AGXT_crovir-transcript-10645
crovir-transcript-15857,AGXT2_crovir-transcript-15857
crovir-transcript-9466,AHCTF1_crovir-transcript-9466
crovir-transcript-6475,AHCY_crovir-transcript-6475
crovir-transcript-6151,AHCYL1_crovir-transcript-6151
crovir-transcript-938,AHDC1_crovir-transcript-938
crovir-transcript-7031,AHNAK2_crovir-transcript-7031
crovir-transcript-1994,AHR_crovir-transcript-1994
crovir-transcript-7212,AHSA1_crovir-transcript-7212
crovir-transcript-10968,AHSG_crovir-transcript-10968
crovir-transcript-10969,AHSG_crovir-transcript-10969
crovir-transcript-10970,AHSG_crovir-transcript-10970
crovir-transcript-5844,AICDA_crovir-transcript-5844
crovir-transcript-9581,AIDA_crovir-transcript-9581
crovir-transcript-5820,AIF1_crovir-transcript-5820
crovir-transcript-1416,AIF1L_crovir-transcript-1416
crovir-transcript-170,AIFM1_crovir-transcript-170
crovir-transcript-10267,AIFM2_crovir-transcript-10267
crovir-transcript-4124,AIFM3_crovir-transcript-4124
crovir-transcript-4397,AIMP1_crovir-transcript-4397
crovir-transcript-327,AIMP2_crovir-transcript-327
crovir-transcript-171,AIP_crovir-transcript-171
crovir-transcript-7983,AIP_crovir-transcript-7983
crovir-transcript-1153,AJAP1_crovir-transcript-1153
crovir-transcript-2377,AJM1_crovir-transcript-2377
crovir-transcript-1554,AK1_crovir-transcript-1554
crovir-transcript-592,AK2_crovir-transcript-592
crovir-transcript-15398,AK3_crovir-transcript-15398
crovir-transcript-5938,AK4_crovir-transcript-5938
crovir-transcript-5895,AK5_crovir-transcript-5895
crovir-transcript-15693,AK6_crovir-transcript-15693
crovir-transcript-7119,AK7_crovir-transcript-7119
crovir-transcript-1468,AK8_crovir-transcript-1468
crovir-transcript-9063,AK9_crovir-transcript-9063
crovir-transcript-9785,AKAP1_crovir-transcript-9785
crovir-transcript-9786,AKAP1_crovir-transcript-9786
crovir-transcript-3216,AKAP11_crovir-transcript-3216
crovir-transcript-9281,AKAP12_crovir-transcript-9281
crovir-transcript-11303,AKAP13_crovir-transcript-11303
crovir-transcript-11305,AKAP13_crovir-transcript-11305
crovir-transcript-210,AKAP14_crovir-transcript-210
crovir-transcript-3470,AKAP17A_crovir-transcript-3470
crovir-transcript-10903,AKAP3_crovir-transcript-10903
crovir-transcript-10904,AKAP3_crovir-transcript-10904
crovir-transcript-3732,AKAP3_crovir-transcript-3732
crovir-transcript-7270,AKAP6_crovir-transcript-7270
crovir-transcript-7272,AKAP6_crovir-transcript-7272
crovir-transcript-5196,AKAP7_crovir-transcript-5196
crovir-transcript-9144,AKAP7_crovir-transcript-9144
crovir-transcript-9162,AKAP7_crovir-transcript-9162
crovir-transcript-9164,AKAP7_crovir-transcript-9164
crovir-transcript-14098,AKAP8_crovir-transcript-14098
crovir-transcript-14096,AKAP8L_crovir-transcript-14096
crovir-transcript-1875,AKAP9_crovir-transcript-1875
crovir-transcript-8977,AKIRIN2_crovir-transcript-8977
crovir-transcript-16790,AKNA_crovir-transcript-16790
crovir-transcript-5726,AKNA_crovir-transcript-5726
crovir-transcript-6097,AKR1A1_crovir-transcript-6097
crovir-transcript-12215,AKR1D1_crovir-transcript-12215
crovir-transcript-2824,AKT1S1_crovir-transcript-2824
crovir-transcript-11466,AKTIP_crovir-transcript-11466
crovir-transcript-13612,ALAS1_crovir-transcript-13612
crovir-transcript-14791,ALAS2_crovir-transcript-14791
crovir-transcript-3819,ALCAM_crovir-transcript-3819
crovir-transcript-2857,ALDH16A1_crovir-transcript-2857
crovir-transcript-10600,ALDH18A1_crovir-transcript-10600
crovir-transcript-15443,ALDH1A1_crovir-transcript-15443
crovir-transcript-11049,ALDH1A2_crovir-transcript-11049
crovir-transcript-11318,ALDH1A3_crovir-transcript-11318
crovir-transcript-12180,ALDH1L2_crovir-transcript-12180
crovir-transcript-16412,ALDH2_crovir-transcript-16412
crovir-transcript-17195,ALDH4A1_crovir-transcript-17195
crovir-transcript-5291,ALDH5A1_crovir-transcript-5291
crovir-transcript-7274,ALDH6A1_crovir-transcript-7274
crovir-transcript-15534,ALDH7A1_crovir-transcript-15534
crovir-transcript-9159,ALDH8A1_crovir-transcript-9159
crovir-transcript-5557,ALDH9A1_crovir-transcript-5557
crovir-transcript-2977,ALDOA_crovir-transcript-2977
crovir-transcript-15295,ALDOB_crovir-transcript-15295
crovir-transcript-580,ALG1_crovir-transcript-580
crovir-transcript-13373,ALG11_crovir-transcript-13373
crovir-transcript-11709,ALG12_crovir-transcript-11709
crovir-transcript-55,ALG13_crovir-transcript-55
crovir-transcript-56,ALG13_crovir-transcript-56
crovir-transcript-57,ALG13_crovir-transcript-57
crovir-transcript-5787,ALG14_crovir-transcript-5787
crovir-transcript-2321,ALG2_crovir-transcript-2321
crovir-transcript-10987,ALG3_crovir-transcript-10987
crovir-transcript-15281,ALG5_crovir-transcript-15281
crovir-transcript-5952,ALG6_crovir-transcript-5952
crovir-transcript-9546,ALK_crovir-transcript-9546
crovir-transcript-8804,ALKAL2_crovir-transcript-8804
crovir-transcript-7207,ALKBH1_crovir-transcript-7207
crovir-transcript-16444,ALKBH2_crovir-transcript-16444
crovir-transcript-7559,ALKBH3_crovir-transcript-7559
crovir-transcript-10043,ALKBH4_crovir-transcript-10043
crovir-transcript-1595,ALKBH5_crovir-transcript-1595
crovir-transcript-14959,ALKBH7_crovir-transcript-14959
crovir-transcript-4006,ALKBH8_crovir-transcript-4006
crovir-transcript-16876,ALMS1_crovir-transcript-16876
crovir-transcript-17346,ALMS1_crovir-transcript-17346
crovir-transcript-3929,ALOX5AP_crovir-transcript-3929
crovir-transcript-11669,ALPI_crovir-transcript-11669
crovir-transcript-16539,ALPI_crovir-transcript-16539
crovir-transcript-4423,ALPK1_crovir-transcript-4423
crovir-transcript-11165,ALPK3_crovir-transcript-11165
crovir-transcript-15885,ALPK3_crovir-transcript-15885
crovir-transcript-16834,ALPL_crovir-transcript-16834
crovir-transcript-8418,ALS2_crovir-transcript-8418
crovir-transcript-1696,ALS2CL_crovir-transcript-1696
crovir-transcript-11933,ALX1_crovir-transcript-11933
crovir-transcript-14291,ALYREF_crovir-transcript-14291
crovir-transcript-15852,AMACR_crovir-transcript-15852
crovir-transcript-15230,AMBN_crovir-transcript-15230
crovir-transcript-7503,AMBRA1_crovir-transcript-7503
crovir-transcript-7504,AMBRA1_crovir-transcript-7504
crovir-transcript-9040,AMD1_crovir-transcript-9040
crovir-transcript-11971,AMDHD1_crovir-transcript-11971
crovir-transcript-427,AMDHD2_crovir-transcript-427
crovir-transcript-3495,AMELX_crovir-transcript-3495
crovir-transcript-3959,AMER2_crovir-transcript-3959
crovir-transcript-16081,AMFR_crovir-transcript-16081
crovir-transcript-6788,AMH_crovir-transcript-6788
crovir-transcript-14680,AMHR2_crovir-transcript-14680
crovir-transcript-3599,AMMECR1_crovir-transcript-3599
crovir-transcript-10623,AMMECR1L_crovir-transcript-10623
crovir-transcript-7046,AMN_crovir-transcript-7046
crovir-transcript-12253,AMN1_crovir-transcript-12253
crovir-transcript-4,AMOT_crovir-transcript-4
crovir-transcript-4045,AMOTL1_crovir-transcript-4045
crovir-transcript-7149,AMOTL1_crovir-transcript-7149
crovir-transcript-10684,AMOTL2_crovir-transcript-10684
crovir-transcript-6373,AMPD1_crovir-transcript-6373
crovir-transcript-6161,AMPD2_crovir-transcript-6161
crovir-transcript-7668,AMPD3_crovir-transcript-7668
crovir-transcript-2241,AMPH_crovir-transcript-2241
crovir-transcript-13701,AMT_crovir-transcript-13701
crovir-transcript-15228,AMTN_crovir-transcript-15228
crovir-transcript-293,AMZ1_crovir-transcript-293
crovir-transcript-14401,AMZ2_crovir-transcript-14401
